iter	Passed	Remaining
956	30138	1354
957	30167	1322
958	30197	1291
959	30227	1259
960	30258	1227
961	30288	1196
962	30317	1164
963	30348	1133
964	30375	1101
965	30405	1070
966	30433	1038
967	30461	1007
968	30491	975
969	30522	943
970	30551	912
971	30581	880
972	30613	849
973	30643	817
974	30671	786
975	30701	754
976	30733	723
977	30763	692
978	30794	660
979	30824	629
980	30856	597
981	30887	566
982	30918	534
983	30950	503
984	30981	471
985	31011	440
986	31041	408
987	31071	377
988	31101	345
989	31131	314
990	31161	282
991	31191	251
992	31218	220
993	31249	188
994	31277	157
995	31306	125
996	31335	94
997	31365	62
998	31395	31
999	31425	0
